regime,architecture,mode,sigma_obs,n_samples,n_diverged,rmse_b_mean,rmse_b_std,rmse_b_median,rmse_b_q25,rmse_b_q75,rmse_a_mean,rmse_a_std,rmse_a_median,rmse_a_q25,rmse_a_q75,improvement_bg_mean,improvement_bg_std,improvement_bg_median,improvement_bg_q25,improvement_bg_q75,hausdorff_mean,hausdorff_std,hausdorff_median,hausdorff_q25,hausdorff_q75,divergence_rate
baseline,BASELINE_NO_MEAN,xy,0.5,3,1,7.6500494470117,1.2298646809628024,7.6500494470117,7.215226619086386,8.084872274937013,15.719020775041825,0.4961339667563963,15.719020775041825,15.54361092890661,15.89443062117704,-1.0763801734641927,0.26895678087956143,-1.0763801734641927,-1.1714707552672137,-0.9812895916611715,,,,,,0.3333333333333333
baseline,BASELINE_NO_MEAN,xy,1.0,3,1,7.6500494470117,1.2298646809628024,7.6500494470117,7.215226619086386,8.084872274937013,16.000281110976687,0.5182173901608516,16.000281110976687,15.817063595620919,16.18349862633245,-1.113392250712391,0.27202034580609885,-1.113392250712391,-1.209565966282492,-1.0172185351422898,,,,,,0.3333333333333333
fixedmean,GRU,x,0.05,1,0,43.43678278868789,,43.43678278868789,43.43678278868789,43.43678278868789,42.76274213082949,,42.76274213082949,42.76274213082949,42.76274213082949,0.01551773898949848,,0.01551773898949848,0.01551773898949848,0.01551773898949848,,,,,,0.0
fixedmean,GRU,x,0.1,1,0,784884.916170162,,784884.916170162,784884.916170162,784884.916170162,818142.7783758624,,818142.7783758624,818142.7783758624,818142.7783758624,-0.042372915468909464,,-0.042372915468909464,-0.042372915468909464,-0.042372915468909464,,,,,,0.0
fixedmean,GRU,x,0.5,1,0,737031.0538127188,,737031.0538127188,737031.0538127188,737031.0538127188,723843.6853937658,,723843.6853937658,723843.6853937658,723843.6853937658,0.017892554663380536,,0.017892554663380536,0.017892554663380536,0.017892554663380536,,,,,,0.0
fixedmean,GRU,x,1.0,1,0,660006.6144429238,,660006.6144429238,660006.6144429238,660006.6144429238,683936.9303185311,,683936.9303185311,683936.9303185311,683936.9303185311,-0.03625769098663596,,-0.03625769098663596,-0.03625769098663596,-0.03625769098663596,,,,,,0.0
fixedmean,GRU,x2,0.05,1,0,783999.333368604,,783999.333368604,783999.333368604,783999.333368604,804348.0869754887,,804348.0869754887,804348.0869754887,804348.0869754887,-0.025955064935390203,,-0.025955064935390203,-0.025955064935390203,-0.025955064935390203,,,,,,0.0
fixedmean,GRU,x2,0.1,1,0,783008.0673974984,,783008.0673974984,783008.0673974984,783008.0673974984,839236.4831448994,,839236.4831448994,839236.4831448994,839236.4831448994,-0.0718107744844681,,-0.0718107744844681,-0.0718107744844681,-0.0718107744844681,,,,,,0.0
fixedmean,GRU,x2,0.5,1,0,797606.6481927943,,797606.6481927943,797606.6481927943,797606.6481927943,865139.9037454777,,865139.9037454777,865139.9037454777,865139.9037454777,-0.08466987544010479,,-0.08466987544010479,-0.08466987544010479,-0.08466987544010479,,,,,,0.0
fixedmean,GRU,x2,1.0,1,1,949760.9864275708,,949760.9864275708,949760.9864275708,949760.9864275708,1063845.2764413294,,1063845.2764413294,1063845.2764413294,1063845.2764413294,-0.12011894744474097,,-0.12011894744474097,-0.12011894744474097,-0.12011894744474097,,,,,,1.0
fixedmean,GRU,xy,0.05,1,0,917937.615428864,,917937.615428864,917937.615428864,917937.615428864,983689.9324625396,,983689.9324625396,983689.9324625396,983689.9324625396,-0.07163048548016605,,-0.07163048548016605,-0.07163048548016605,-0.07163048548016605,,,,,,0.0
fixedmean,GRU,xy,0.1,1,0,903818.0075882494,,903818.0075882494,903818.0075882494,903818.0075882494,890386.5081682169,,890386.5081682169,890386.5081682169,890386.5081682169,0.01486084511180867,,0.01486084511180867,0.01486084511180867,0.01486084511180867,,,,,,0.0
fixedmean,GRU,xy,0.5,1,1,946497.6669837192,,946497.6669837192,946497.6669837192,946497.6669837192,1064316.5794074724,,1064316.5794074724,1064316.5794074724,1064316.5794074724,-0.12447881968818385,,-0.12447881968818385,-0.12447881968818385,-0.12447881968818385,,,,,,1.0
fixedmean,GRU,xy,1.0,1,0,743770.6341485404,,743770.6341485404,743770.6341485404,743770.6341485404,719406.4929495456,,719406.4929495456,719406.4929495456,719406.4929495456,0.03275760036813849,,0.03275760036813849,0.03275760036813849,0.03275760036813849,,,,,,0.0
fixedmean,LSTM,x,0.05,1,0,796830.4316276618,,796830.4316276618,796830.4316276618,796830.4316276618,899590.0842535576,,899590.0842535576,899590.0842535576,899590.0842535576,-0.12896050219366212,,-0.12896050219366212,-0.12896050219366212,-0.12896050219366212,,,,,,0.0
fixedmean,LSTM,x,0.1,1,0,685002.6721853709,,685002.6721853709,685002.6721853709,685002.6721853709,651531.0819508835,,651531.0819508835,651531.0819508835,651531.0819508835,0.04886344476248929,,0.04886344476248929,0.04886344476248929,0.04886344476248929,,,,,,0.0
