path,regime,mode,arch,sigma,R,rmse_b_mean,rmse_b_std,rmse_a_mean,rmse_a_std,rmse_a_median,rmse_a_q25,rmse_a_q75,improvement_mean,improvement_std,improvement_median,hausdorff_mean,hausdorff_std,hausdorff_median,divergence_rate
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/x_gru_n1.0_R1.0.pth,fixedmean,x,gru,1.0,1.0,19.88298641260804,0.5466271920545663,20.147347187018532,0.6170378555605308,20.30345195611266,19.886032667303965,20.501050005433434,-0.013214822582979138,0.0054091395245286665,-0.01222902170878717,0.9567889286254306,0.06978101266533612,0.9434334364977217,0.0
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/x2_gru_n1.0_R1.0.pth,fixedmean,x2,gru,1.0,1.0,62.17788053586322,72.26514697198769,62.59688546559583,74.56720555019363,50.00043363227937,39.49798038340709,66.3413709959325,-0.0012218216988362516,0.015361193758810888,-0.0028635316003789804,5.864362800659026,15.155615515451663,2.9423888024429314,0.0
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/xy_gru_n0.5_R0.5.pth,fixedmean,xy,gru,0.5,0.5,118533.48871826917,127718.6771453393,120998.92069485728,130548.64283861918,110160.71949206434,285.41545725321316,227533.64220786668,-0.022574797423614276,0.011928463156519171,-0.022237718207915484,15375.918199624884,14687.047784014461,25731.087310322182,1.36
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/x_gru_n0.05_R0.05.pth,fixedmean,x,gru,0.05,0.05,15.8197764259526,1.8696199131640368,16.29572661715139,1.9499512467771947,15.794485597822447,15.141892528586041,16.904850281663094,-0.029936514623611698,0.002034753808856526,-0.029930667540216782,0.89966860380632,0.12189021246953166,0.9057530113154204,0.0
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/xy_mlp_n0.05_R0.05.pth,fixedmean,xy,mlp,0.05,0.05,19202.127163867244,56472.70946906265,19959.51268694155,57974.06335566439,34.18215671830913,31.760584934720697,47.158349883550656,-0.020945809577098053,0.02080677685669381,-0.02002023161545479,3632.5932284066353,9821.367323483728,1.781176703924265,7.86
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/x_lstm_n0.1_R0.1.pth,fixedmean,x,lstm,0.1,0.1,29.1061723805344,5.08728192205673,28.944663420833376,5.263821655595463,27.704438230843483,25.418201658571782,30.213235431158836,0.006533511122155131,0.008085284122447108,0.00941849606221732,1.6642148470156604,0.45382442282075136,1.5776450891962785,0.0
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/x_gru_n0.1_R0.1.pth,fixedmean,x,gru,0.1,0.1,23.572598789919898,2.8961288857526464,23.96970782301943,3.0163590652288783,24.85174641493067,21.973878072609306,26.20371752421765,-0.016460158880324455,0.00841488011504928,-0.01382831132678082,1.1137763135163936,0.21386711093233657,1.1267265462783287,0.0
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/x2_lstm_n1.0_R1.0.pth,fixedmean,x2,lstm,1.0,1.0,206680.1702949182,127616.85599918077,207409.90049073196,127857.51203175631,268579.35993759293,88403.46090645157,303696.22798915213,-0.006043433841700509,0.008736396178884413,-0.005339261470808401,22220.023930926163,12155.745967472569,28942.134637488605,0.0
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/x2_mlp_n0.5_R0.5.pth,fixedmean,x2,mlp,0.5,0.5,96.66168739699093,45.21861638795299,94.64938222496005,40.7189464471567,87.53283007295327,71.22297642252964,106.79945701292856,0.011108130969675096,0.025144876515870964,0.0046636362952415635,13.21471631386585,10.066696789895847,10.601161336032833,14.14
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/x2_lstm_n0.1_R0.1.pth,fixedmean,x2,lstm,0.1,0.1,29.93219928295769,5.428369233797266,30.350436539532467,5.3593695963254095,28.79457794412939,25.90365068452359,33.09560502505288,-0.01485293193224183,0.011480305198493275,-0.014765740744412116,1.7097367680588638,0.4501713425549323,1.465561243983394,0.0
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/x_lstm_n1.0_R1.0.pth,fixedmean,x,lstm,1.0,1.0,17.90095620721081,0.608230460001261,18.337822798736674,0.590954600241808,18.415256637396553,17.99459714758421,18.69434442089546,-0.024552677380826237,0.012823257167693364,-0.024438787257471766,0.9146275881062941,0.079274647368118,0.9243803003350448,0.0
